iter	Passed	Remaining
725	41564	15686
726	41636	15635
727	41706	15582
728	41760	15524
729	41804	15461
730	41861	15404
731	41907	15343
732	41965	15286
733	42017	15227
734	42083	15173
735	42135	15113
736	42187	15054
737	42245	14997
738	42292	14936
739	42335	14874
740	42384	14814
741	42436	14755
742	42496	14699
743	42558	14643
744	42615	14586
745	42659	14524
746	42711	14465
747	42754	14403
748	42798	14342
749	42838	14279
750	42884	14218
751	42946	14163
752	43012	14109
753	43069	14051
754	43118	13992
755	43168	13932
756	43217	13873
757	43260	13811
758	43312	13752
759	43361	13693
760	43422	13637
761	43471	13577
762	43517	13517
763	43560	13455
764	43614	13397
765	43662	13338
766	43712	13278
767	43759	13219
768	43820	13163
769	43869	13103
770	43919	13044
771	43967	12985
772	44013	12925
773	44066	12867
774	44112	12806
775	44164	12748
776	44223	12692
777	44266	12631
778	44322	12574
779	44371	12515
780	44429	12458
781	44483	12400
782	44529	12340
783	44613	12291
784	44673	12235
785	44721	12176
786	44777	12118
787	44825	12059
788	44882	12002
789	44935	11944
790	45006	11891
791	45061	11834
792	45114	11776
793	45166	11718
794	45214	11659
795	45270	11601
796	45326	11544
797	45373	11485
798	45430	11428
799	45470	11367
800	45529	11311
801	45574	11251
802	45615	11190
803	45663	11131
804	45707	11072
805	45751	11012
806	45799	10953
807	45852	10895
808	45895	10835
809	45940	10776
810	45988	10717
811	46031	10657
812	46074	10597
813	46118	10538
814	46163	10478
815	46214	10420
816	46258	10361
817	46301	10301
818	46346	10242
819	46391	10183
820	46436	10124
821	46484	10065
822	46546	10010
823	46688	9972
824	46782	9923
825	46836	9866
826	46880	9807
827	46931	9749
828	46976	9690
829	47025	9631
830	47067	9572
831	47118	9514
832	47166	9455
833	47216	9398
834	47281	9343
835	47330	9284
836	47373	9225
837	47437	9170
838	47482	9111
839	47530	9053
840	47572	8994
841	47620	8935
842	47669	8877
843	47712	8818
844	47756	8759
845	47817	8704
846	47879	8648
847	47927	8590
848	47973	8532
849	48018	8473
850	48063	8415
851	48113	8357
852	48167	8300
853	48221	8243
854	48268	8185
855	48311	8127
856	48367	8070
857	48410	8011
858	48453	7953
859	48501	7895
860	48550	7838
861	48612	7782
862	48657	7724
863	48702	7666
864	48744	7607
865	48795	7550
866	48846	7493
867	48894	7435
868	48937	7377
869	48985	7319
870	49047	7264
871	49099	7207
872	49140	7148
873	49183	7090
874	49229	7032
875	49284	6976
876	49335	6919
877	49378	6861
878	49434	6805
879	49478	6747
880	49527	6689
881	49621	6638
882	49674	6581
883	49716	6523
884	49757	6465
885	49803	6408
886	49860	6352
887	49905	6294
888	49951	6236
889	49998	6179
890	50039	6121
891	50085	6064
892	50131	6006
893	50180	5949
894	50234	5893
895	50286	5836
896	50332	5779
897	50383	5722
898	50423	5664
899	50471	5607
900	50521	5551
901	50563	5493
902	50619	5437
903	50662	5380
904	50707	5322
905	50757	5266
906	50801	5208
907	50846	5151
908	50893	5094
909	50939	5037
910	50992	4981
911	51044	4925
912	51089	4868
913	51139	4811
914	51188	4755
915	51255	4700
916	51301	4643
917	51347	4586
918	51400	4530
919	51446	4473
920	51496	4417
921	51545	4360
922	51588	4303
923	51631	4246
924	51682	4190
925	51725	4133
926	51869	4084
927	51985	4033
928	52056	3978
929	52100	3921
930	52142	3864
931	52198	3808
932	52256	3752
933	52306	3696
934	52350	3639
935	52396	3582
936	52447	3526
937	52496	3469
938	52545	3413
939	52604	3357
940	52646	3300
941	52704	3245
942	52754	3188
943	52797	3132
944	52851	3076
945	52896	3019
946	52953	2963
947	53006	2907
948	53053	2851
949	53096	2794
950	53146	2738
951	53196	2682
952	53241	2625
953	53288	2569
954	53337	2513
955	53380	2456
956	53445	2401
957	53489	2345
958	53537	2288
959	53584	2232
960	53630	2176
961	53684	2120
962	53728	2064
963	53772	2008
964	53823	1952
965	53865	1895
966	53914	1839
967	53960	1783
968	54014	1728
969	54076	1672
970	54117	1616
971	54165	1560
972	54218	1504
973	54259	1448
974	54306	1392
975	54348	1336
976	54398	1280
977	54447	1224
978	54491	1168
979	54532	1112
980	54581	1057
981	54658	1001
982	54710	946
983	54754	890
984	54795	834
985	54838	778
986	54893	723
987	54949	667
988	54997	611
989	55051	556
990	55099	500
991	55153	444
992	55199	389
993	55240	333
994	55286	277
995	55343	222
996	55392	166
997	55445	111
998	55490	55
999	55536	0
